cluster_id,accident_count,center_lat,center_lon,lat_std,lon_std,top_outcome
1,5386,52.36539047725106,4.876131236086418,0.015863534795045084,0.039952149955954724,Uitsluitend materiele schade
0,230,52.314236830735645,4.957318231590798,0.007440967506947124,0.013483390803350646,Uitsluitend materiele schade
-1,9,52.370639834147944,4.933154949521015,0.026700732813097403,0.06884581337560895,Uitsluitend materiele schade
