,accident_id,accident_year,outcome,num_parties,party1_type,party2_type,accident_nature,road_situation,built_up_area,speed_limit_kmh,street_lighting,road_surface,road_condition,light_condition,weather_condition,street_name,municipality,shape,geometry,longitude,latitude
58,20210077485,2021,Uitsluitend materiele schade,2,personenauto,bromfiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Brandend,Unknown,Nat,Duisternis,Droog,Middenweg,amsterdam,POINT (124415.5298999995 484676.3922000006),POINT (4.938331880430102 52.3491439360283),4.938331880430102,52.3491439360283
91,20210081692,2021,Uitsluitend materiele schade,2,personenauto,e-bike,Frontaal,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Overschiestraat,amsterdam,POINT (117678.65309999883 484278.08260000125),POINT (4.83950635628552 52.34514797053482),4.83950635628552,52.34514797053482
106,20210081708,2021,Uitsluitend materiele schade,2,snorfiets,fiets,Frontaal,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Rozenburglaan,amsterdam,POINT (124437.1950000003 483597.2190000005),POINT (4.938747822317208 52.33944619086022),4.938747822317208,52.33944619086022
154,20210080056,2021,Uitsluitend materiele schade,2,e-bike,landbouwvoertuig,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Th. K. van Lohuizenlaan,amsterdam,POINT (124961 486566),POINT (4.946168489078478 52.366156634505806),4.946168489078478,52.366156634505806
155,20210080070,2021,Uitsluitend materiele schade,2,personenauto,fiets,Flank,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Spuistraat,amsterdam,POINT (121107.48209999874 487274.5234000012),POINT (4.889521223504305 52.37230007491118),4.889521223504305,52.37230007491118
156,20210080071,2021,Letsel,2,personenauto,fiets,Flank,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Kamerlingh Onneslaan,amsterdam,POINT (123349.29100000113 484580.4129999988),POINT (4.922692758432155 52.3482209595826),4.922692758432155,52.3482209595826
159,20210087204,2021,Letsel,2,bestelauto,bromfiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Postjesweg,amsterdam,POINT (118694.44330000132 486402.67330000177),POINT (4.854183357721378 52.36431030413606),4.854183357721378,52.36431030413606
164,20210086191,2021,Uitsluitend materiele schade,2,personenauto,fiets,Flank,Rechte weg,Binnen,Unknown,Niet brandend,Unknown,Droog,Daglicht,Droog,Ookmeerweg,amsterdam,POINT (113805.39999999851 486078.8040000014),POINT (4.782448029546488 52.36105471179524),4.782448029546488,52.36105471179524
171,20210084850,2021,Letsel,2,bromfiets,fiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Nat,Daglicht,Regen,Jacob van Lennepstraat,amsterdam,POINT (119968 486601),POINT (4.872859712971377 52.36617542559926),4.872859712971377,52.36617542559926
464,20210013586,2021,Uitsluitend materiele schade,2,snorfiets,fiets,Flank,Bocht,Binnen,50.0,Niet brandend,Unknown,Droog,Daglicht,Droog,Prins Hendrikkade,amsterdam,POINT (121571.84600000083 487987.23099999875),POINT (4.896268880725042 52.37873384772246),4.896268880725042,52.37873384772246
584,20210018848,2021,Letsel,2,personenauto,bromfiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Brandend,Overig asfalt,Droog,Duisternis,Droog,Th. Weeversweg,amsterdam,POINT (124812.42199999839 490053.6330000013),POINT (4.943673732563549 52.3974929874252),4.943673732563549,52.3974929874252
623,20210026982,2021,Uitsluitend materiele schade,1,bromfiets,unknown,Kop/staart,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Oostenburgervoorstraat,amsterdam,POINT (123314 486872),POINT (4.921958964128099 52.36881421481327),4.921958964128099,52.36881421481327
648,20210073543,2021,Letsel,2,personenauto,bromfiets,Flank,"Kruispunt, 3 takken",Binnen,Unknown,Brandend,Overig asfalt,Droog,Duisternis,Droog,Rhijnspoorplein,amsterdam,POINT (122352.8841000013 486019.304299999),POINT (4.907930162915401 52.36109447365124),4.907930162915401,52.36109447365124
723,20210055417,2021,Uitsluitend materiele schade,2,personenauto,bromfiets,Flank,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,L. van Sonsbeeckstraat,amsterdam,POINT (115225.75079999864 485935.3231999986),POINT (4.803315365165739 52.35986990320372),4.803315365165739,52.35986990320372
743,20210047184,2021,Uitsluitend materiele schade,2,bestelauto,fiets,Frontaal,"Kruispunt, 4 takken",Buiten,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Radarweg,amsterdam,POINT (117472.49799999967 489371.06799999997),POINT (4.835912592467789 52.39090577907301),4.835912592467789,52.39090577907301
811,20210042939,2021,Letsel,2,personenauto,e-bike,Frontaal,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Haarlemmermeerstraat,amsterdam,POINT (118425.34540000185 485352.3557999991),POINT (4.850346975414561 52.3548529687905),4.850346975414561,52.3548529687905
863,20210070835,2021,Letsel,2,personenauto,fiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Unknown,Middenweg,amsterdam,POINT (124210.16010000184 484873.88219999894),POINT (4.935299794536237 52.35090738475457),4.935299794536237,52.35090738475457
888,20210084833,2021,Letsel,3,bestelauto,bromfiets,Voetganger,Bocht,Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Middenweg,amsterdam,POINT (124518.91000000015 484550.4530000016),POINT (4.939860498590827 52.34801781602652),4.939860498590827,52.34801781602652
918,20210057956,2021,Uitsluitend materiele schade,2,personenauto,fiets,Flank,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,mt. Lincolnweg,amsterdam,POINT (121114.97910000011 490783.7140999995),POINT (4.889277239189274 52.40383854202392),4.889277239189274,52.40383854202392
928,20210066120,2021,Uitsluitend materiele schade,1,bromfiets,unknown,Voetganger,Rechte weg,Binnen,30.0,Niet brandend,Klinkers,Nat,Daglicht,Regen,Singel,amsterdam,POINT (121208.65799999982 487651.9629999995),POINT (4.890968903372714 52.375698467731546),4.890968903372714,52.375698467731546
1070,20210065109,2021,Uitsluitend materiele schade,3,snorfiets,personenauto,Voetganger,"Kruispunt, 4 takken",Binnen,30.0,Brandend,Overig asfalt,Unknown,Duisternis,Droog,Westerkade,amsterdam,POINT (120362.09070000052 487864.62000000104),POINT (4.8785153664555025 52.377556922360974),4.8785153664555025,52.377556922360974
1072,20210065474,2021,Uitsluitend materiele schade,3,bromfiets,fiets,Onbekend,Rechte weg,Binnen,50.0,Niet aanwezig,Klinkers,Nat,Daglicht,Unknown,Willemsparkweg,amsterdam,POINT (119716.82600000128 485432.1559999995),POINT (4.8692947139606995 52.35565461286013),4.8692947139606995,52.35565461286013
1113,20210038292,2021,Uitsluitend materiele schade,2,fiets,e-bike,Kop/staart,"Kruispunt, 4 takken",Binnen,Unknown,Niet brandend,Overig asfalt,Nat,Daglicht,Droog,Weesperstraat,amsterdam,POINT (122358.5850000009 486036.19200000167),POINT (4.90801221276785 52.36124658772878),4.90801221276785,52.36124658772878
1175,20210040886,2021,Letsel,2,personenauto,bromfiets,Onbekend,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Beton,Droog,Daglicht,Droog,Tweede Oosterparkstraat,amsterdam,POINT (123552 485830),POINT (4.925550857517285 52.359463084923995),4.925550857517285,52.359463084923995
1184,20210049481,2021,Letsel,2,personenauto,fiets,Frontaal,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Admiraal De Ruijterweg,amsterdam,POINT (118874.89779999852 488043.35990000144),POINT (4.856656258017785 52.379067465080844),4.856656258017785,52.379067465080844
1621,20210077145,2021,Uitsluitend materiele schade,1,bromfiets,unknown,Voetganger,Rechte weg,Binnen,30.0,Niet aanwezig,Klinkers,Droog,Daglicht,Droog,Leidsestraat,amsterdam,POINT (120886 486578),POINT (4.886339746988056 52.366026502998906),4.886339746988056,52.366026502998906
1775,20220081346,2022,Uitsluitend materiele schade,2,personenauto,bromfiets,Onbekend,Rechte weg,Binnen,50.0,Brandend,Overig asfalt,Droog,Schemer,Droog,Linnaeusstraat,amsterdam,POINT (123559.21799999848 485802.2179999985),POINT (4.925659410708678 52.35921381151146),4.925659410708678,52.35921381151146
1849,20220081510,2022,Letsel,2,personenauto,bromfiets,Flank,"Kruispunt, 3 takken",Binnen,50.0,Brandend,Overig asfalt,Droog,Duisternis,Droog,Koos Vorrinkweg,amsterdam,POINT (115050.33469999954 485092.71869999915),POINT (4.800840443866093 52.35228451027735),4.800840443866093,52.35228451027735
1889,20220055331,2022,Uitsluitend materiele schade,2,bromfiets,snorfiets,Onbekend,"Kruispunt, 4 takken",Binnen,30.0,Brandend,Overig asfalt,Droog,Duisternis,Droog,Pieter Calandlaan,amsterdam,POINT (115684.29410000145 485310.05849999934),POINT (4.810119569258385 52.3542835215872),4.810119569258385,52.3542835215872
1916,20220035798,2022,Uitsluitend materiele schade,2,bromfiets,personenauto,Flank,Bocht,Binnen,30.0,Niet brandend,Klinkers,Nat,Daglicht,Regen,Bataviastraat,amsterdam,POINT (124601.73090000078 486009.4567999989),POINT (4.940944124081258 52.36113501616063),4.940944124081258,52.36113501616063
1927,20220055367,2022,Letsel,2,bromfiets,fiets,Flank,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Admiraal De Ruijterweg,amsterdam,POINT (119000.10559999943 487543.87750000134),POINT (4.858548547534891 52.3745867190377),4.858548547534891,52.3745867190377
1928,20220055409,2022,Letsel,1,bromfiets,unknown,Eenzijdig,Bocht,Binnen,30.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,Sumatrastraat,amsterdam,POINT (124495.67000000179 485764.01199999824),POINT (4.9394094089864895 52.358923235606504),4.9394094089864895,52.358923235606504
1937,20220081040,2022,Uitsluitend materiele schade,3,bestelauto,bromfiets,Onbekend,Unknown,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Weteringlaan,amsterdam,POINT (121180.01099999994 485718.55000000075),POINT (4.890742717978925 52.35832054410896),4.890742717978925,52.35832054410896
1957,20220035944,2022,Uitsluitend materiele schade,1,bromfiets,unknown,Voetganger,Rechte weg,Binnen,30.0,Brandend,Klinkers,Droog,Duisternis,Droog,Nieuwe Doelenstraat,amsterdam,POINT (121499.87700000033 486810.186999999),POINT (4.895329282559838 52.36815102315546),4.895329282559838,52.36815102315546
2006,20220054073,2022,Uitsluitend materiele schade,2,personenauto,bromfiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Brandend,Overig asfalt,Nat,Duisternis,Regen,Hoptillepad,amsterdam,POINT (125523.78849999979 480176.45149999857),POINT (4.954990492140372 52.308761582883264),4.954990492140372,52.308761582883264
2054,20220081261,2022,Letsel,1,fiets,unknown,Eenzijdig,Rechte weg,Binnen,30.0,Brandend,Unknown,Droog,Duisternis,Droog,Pieter Calandlaan,amsterdam,POINT (115278.57600000128 485167.21499999985),POINT (4.804181508271397 52.35297057289441),4.804181508271397,52.35297057289441
2170,20220102161,2022,Uitsluitend materiele schade,2,personenauto,bromfiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Beton,Droog,Daglicht,Droog,Meer en Vaart,amsterdam,POINT (115710.97839999944 485311.34329999983),POINT (4.810511078278774 52.35429697724649),4.810511078278774,52.35429697724649
2171,20220102525,2022,Uitsluitend materiele schade,2,personenauto,bromfiets,Flank,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,Oude Spiegelstraat,amsterdam,POINT (120942.72370000184 487048.50470000133),POINT (4.887124873880665 52.37025858664813),4.887124873880665,52.37025858664813
2184,20220054709,2022,Uitsluitend materiele schade,2,bus,snorfiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Jan Evertsenstraat,amsterdam,POINT (118425.80900000036 487041.5069999993),POINT (4.850170063932973 52.3700338413985),4.850170063932973,52.3700338413985
2185,20220054749,2022,Letsel,3,motor,snorfiets,Voetganger,Rechte weg,Binnen,50.0,Niet brandend,Unknown,Droog,Schemer,Droog,Bilderdijkstraat,amsterdam,POINT (119950.78299999982 486662.9609999992),POINT (4.872600481110085 52.366731187995626),4.872600481110085,52.366731187995626
2194,20220102662,2022,Uitsluitend materiele schade,2,personenauto,fiets,Geparkeerd voertuig,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Nieuwe Herengracht,amsterdam,POINT (122517.0940000005 486974.6770000011),POINT (4.910248460864173 52.36969045103701),4.910248460864173,52.36969045103701
2212,20220054847,2022,Uitsluitend materiele schade,2,bromfiets,fiets,Frontaal,Rechte weg,Binnen,30.0,Brandend,Unknown,Droog,Duisternis,Droog,Rozenburglaan,amsterdam,POINT (124461.8440000005 483584.49599999934),POINT (4.939110647174332 52.339333214108265),4.939110647174332,52.339333214108265
2226,20220102968,2022,Uitsluitend materiele schade,2,bromfiets,fiets,Onbekend,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Beton,Droog,Daglicht,Droog,President Kennedylaan,amsterdam,POINT (121304.23759999871 483758.8830000013),POINT (4.892762468241394 52.34071599888309),4.892762468241394,52.34071599888309
2241,20220015539,2022,Uitsluitend materiele schade,3,personenauto,fiets,Los voorwerp,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Nat,Daglicht,Droog,Sneeuwbalstraat,amsterdam,POINT (122791.87920000032 489984.5507000014),POINT (4.913994496990801 52.396757255378205),4.913994496990801,52.396757255378205
2260,20220103290,2022,Letsel,2,personenauto,fiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Brandend,Overig asfalt,Droog,Duisternis,Droog,Stadhouderskade,amsterdam,POINT (121764.0485999994 485649.38699999824),POINT (4.899322648948649 52.35773459736638),4.899322648948649,52.35773459736638
2273,20220015644,2022,Uitsluitend materiele schade,2,personenauto,bromfiets,Frontaal,"Kruispunt, 4 takken",Binnen,50.0,Brandend,ZOAB,Nat,Duisternis,Droog,Rhijnspoorplein,amsterdam,POINT (122392.4673999995 485942.6550000012),POINT (4.908518675328008 52.36040795217464),4.908518675328008,52.36040795217464
2274,20220015755,2022,Uitsluitend materiele schade,2,motor,fiets,Flank,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Schemer,Droog,P Cornelisz Hooftstr,amsterdam,POINT (120755.53860000148 486055.0694999993),POINT (4.884477627178812 52.36131865234758),4.884477627178812,52.36131865234758
2502,20230097521,2023,Uitsluitend materiele schade,1,fiets,unknown,Onbekend,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Daglicht,Unknown,Stadionweg,amsterdam,POINT (118990.52699999884 484318.9770000018),POINT (4.858753180815245 52.34560302488486),4.858753180815245,52.34560302488486
2586,20230004611,2023,Letsel,3,fiets,fiets,Los voorwerp,Rechte weg,Binnen,50.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,Dammerweg,amsterdam,POINT (133344.3359999992 477516.26900000125),POINT (5.069832920621016 52.285216350102665),5.069832920621016,52.285216350102665
2621,20230039666,2023,Uitsluitend materiele schade,2,personenauto,bromfiets,Onbekend,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Daglicht,Unknown,Rossinistraat,amsterdam,POINT (120406.42599999905 484329.9970000014),POINT (4.879530040886562 52.34579301577222),4.879530040886562,52.34579301577222
2638,20230004684,2023,Uitsluitend materiele schade,1,bromfiets,unknown,Kop/staart,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Jozef Israëlskade,amsterdam,POINT (121218.05600000173 484617.69099999964),POINT (4.891411717099208 52.34842910832754),4.891411717099208,52.34842910832754
2893,20210093235,2021,Letsel,3,personenauto,e-bike,Los voorwerp,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Aletta Jacobslaan,amsterdam,POINT (116872.70899999887 484477.05799999833),POINT (4.8276569672053 52.346880891426146),4.8276569672053,52.346880891426146
2927,20210022838,2021,Letsel,2,personenauto,e-bike,Flank,Rechte weg,Binnen,50.0,Niet aanwezig,Overig asfalt,Droog,Daglicht,Droog,Beethovenstraat,amsterdam,POINT (120316.91200000048 484805.04100000113),POINT (4.878167479908081 52.350056745879044),4.878167479908081,52.350056745879044
3268,20220177274,2022,Uitsluitend materiele schade,2,bromfiets,fiets,Frontaal,"Kruispunt, 4 takken",Binnen,Unknown,Niet aanwezig,Overig asfalt,Droog,Daglicht,Droog,Westel Merwedekanaaldijk,amsterdam,POINT (126172.87649999931 485505.6352000013),POINT (4.9640518015214194 52.356691668271615),4.9640518015214194,52.356691668271615
3288,20220141984,2022,Uitsluitend materiele schade,2,personenauto,fiets,Flank,"Kruispunt, 4 takken",Binnen,Unknown,Niet brandend,Klinkers,Droog,Daglicht,Droog,Herenstraat,amsterdam,POINT (121117.02849999815 487788.2234000005),POINT (4.889609607729439 52.37691743161978),4.889609607729439,52.37691743161978
3302,20220176332,2022,Letsel,3,fiets,personenauto,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,Haarlemmer Houttuinen,amsterdam,POINT (121253.92760000005 488259.01399999857),POINT (4.891572708430962 52.38115698835864),4.891572708430962,52.38115698835864
3304,20220177734,2022,Uitsluitend materiele schade,2,bestelauto,bromfiets,Onbekend,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,Polderweg,amsterdam,POINT (123659.76220000163 485583.5425999984),POINT (4.927155709908057 52.35725424342136),4.927155709908057,52.35725424342136
3329,20220177201,2022,Letsel,2,fiets,fiets,Flank,Rechte weg,Binnen,50.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,Ceintuurbaan,amsterdam,POINT (120986.11199999973 485052.77800000086),POINT (4.8879637906639015 52.3523250693587),4.8879637906639015,52.3523250693587
3343,20220123278,2022,Uitsluitend materiele schade,2,personenauto,fiets,Frontaal,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Klinkers,Nat,Daglicht,Regen,Johann Keplerstraat,amsterdam,POINT (124396.62790000066 485331.3302000016),POINT (4.937994905489612 52.355029057412885),4.937994905489612,52.355029057412885
3362,20220177559,2022,Uitsluitend materiele schade,2,bromfiets,personenauto,Flank,"Kruispunt, 4 takken",Binnen,50.0,Brandend,Beton,Nat,Schemer,Regen,Arubastraat,amsterdam,POINT (118639 485935),POINT (4.8534199674348235 52.360103532913094),4.8534199674348235,52.360103532913094
3363,20220178116,2022,Letsel,2,bromfiets,voetganger,Voetganger,Rechte weg,Binnen,30.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,Hoofdweg,amsterdam,POINT (118637 486052),POINT (4.853377957884387 52.36115491081843),4.853377957884387,52.36115491081843
3488,20220142409,2022,Letsel,2,bromfiets,voetganger,Voetganger,Rechte weg,Binnen,50.0,Brandend,ZOAB,Droog,Duisternis,Droog,Linnaeusstraat,amsterdam,POINT (123649.32800000161 485609.1009999998),POINT (4.927000167250927 52.357483350519466),4.927000167250927,52.357483350519466
3517,20220123738,2022,Uitsluitend materiele schade,2,personenauto,bromfiets,Kop/staart,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Unknown,Pieter Calandlaan,amsterdam,POINT (114944.2509999983 485058.54300000146),POINT (4.79928754074287 52.35196964235521),4.79928754074287,52.35196964235521
3526,20220142499,2022,Uitsluitend materiele schade,2,fiets,fiets,Flank,"Kruispunt, 3 takken",Binnen,Unknown,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Wibautstraat,amsterdam,POINT (122949.15399999917 484752.94099999964),POINT (4.9168040330451195 52.34974833934168),4.9168040330451195,52.34974833934168
3527,20220142511,2022,Uitsluitend materiele schade,2,bestelauto,fiets,Kop/staart,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Nat,Daglicht,Regen,Mauritskade,amsterdam,POINT (123498.13500000164 486423.5799999982),POINT (4.9247045473427145 52.36479470638551),4.9247045473427145,52.36479470638551
3561,20220142561,2022,Letsel,1,fiets,unknown,Eenzijdig,Unknown,Unknown,50.0,Unknown,Unknown,Unknown,Duisternis,Unknown,Prins Hendrikkade,amsterdam,POINT (122217.43299999833 487447.66600000113),POINT (4.9058024693212365 52.37392354251287),4.9058024693212365,52.37392354251287
3629,20220141320,2022,Uitsluitend materiele schade,2,bromfiets,personenauto,Kop/staart,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Bos en Lommerweg,amsterdam,POINT (118399.12299999967 487996.15300000086),POINT (4.8496742692918655 52.37861169447241),4.8496742692918655,52.37861169447241
3684,20220124077,2022,Uitsluitend materiele schade,2,fiets,personenauto,Kop/staart,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,BLAUWBRUG 0236,amsterdam,POINT (121919.07999999821 486640.2280000001),POINT (4.901500859047454 52.36664895878842),4.901500859047454,52.36664895878842
3716,20220124148,2022,Uitsluitend materiele schade,2,bromfiets,fiets,Onbekend,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Nat,Daglicht,Droog,Zeilstraat,amsterdam,POINT (118660.0709999986 484901.22399999946),POINT (4.853840954757943 52.35081409569239),4.853840954757943,52.35081409569239
3756,20220124164,2022,Uitsluitend materiele schade,2,personenauto,snorfiets,Flank,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Vrije Geer,amsterdam,POINT (114671.44900000095 484082.0469999984),POINT (4.79540072503471 52.34317370409042),4.79540072503471,52.34317370409042
3777,20220124239,2022,Uitsluitend materiele schade,2,bus,fiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,Van Baerlestraat,amsterdam,POINT (120448.93499999866 485472.47289999947),POINT (4.880036540718109 52.35606348173077),4.880036540718109,52.35606348173077
3821,20230058671,2023,Letsel,2,bromfiets,personenauto,Kop/staart,Rechte weg,Binnen,50.0,Niet aanwezig,Overig asfalt,Droog,Daglicht,Droog,Mauritskade,amsterdam,POINT (123498.13500000164 486423.5799999982),POINT (4.9247045473427145 52.36479470638551),4.9247045473427145,52.36479470638551
3848,20230059936,2023,Uitsluitend materiele schade,2,bromfiets,fiets,Flank,Rechte weg,Binnen,Unknown,Niet brandend,Beton,Droog,Daglicht,Droog,Contactweg,amsterdam,POINT (118805 489499),POINT (4.855472887186218 52.392145025698255),4.855472887186218,52.392145025698255
3859,20230040774,2023,Letsel,2,trein/tram,fiets,Onbekend,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Tussen Meer,amsterdam,POINT (114255.41200000048 485503.8997000009),POINT (4.789123717497112 52.35592150181496),4.789123717497112,52.35592150181496
3865,20230050153,2023,Letsel,2,bromfiets,personenauto,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Weissenbruchstraat,amsterdam,POINT (118425.29270000011 485194.3348999992),POINT (4.850363381469836 52.35343278791098),4.850363381469836,52.35343278791098
3888,20230049047,2023,Uitsluitend materiele schade,2,personenauto,bromfiets,Kop/staart,"Kruispunt, 3 takken",Binnen,30.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,Gerard Doustraat,amsterdam,POINT (121302.30099999905 485444.01999999955),POINT (4.892565315368196 52.35586077022867),4.892565315368196,52.35586077022867
3948,20230039782,2023,Letsel,2,personenauto,fiets,Onbekend,"Kruispunt, 4 takken",Binnen,50.0,Brandend,Overig asfalt,Droog,Duisternis,Droog,Insulindeweg,amsterdam,POINT (124509.5887000002 486064.8814000003),POINT (4.939586450170728 52.36162803055401),4.939586450170728,52.36162803055401
4095,20230048830,2023,Letsel,2,bromfiets,voetganger,Voetganger,Rechte weg,Binnen,50.0,Niet brandend,Unknown,Droog,Daglicht,Droog,Van Baerlestraat,amsterdam,POINT (120379.52100000158 485623.21400000155),POINT (4.87900215146136 52.35741386813664),4.87900215146136,52.35741386813664
4096,20230050527,2023,Letsel,3,fiets,personenauto,Onbekend,Rechte weg,Binnen,50.0,Niet brandend,ZOAB,Droog,Daglicht,Droog,Baden Powellweg,amsterdam,POINT (114501.74300000072 485173.6330000013),POINT (4.792779126263654 52.35297154192718),4.792779126263654,52.35297154192718
4110,20230049457,2023,Uitsluitend materiele schade,2,snorfiets,personenauto,Flank,Rotonde,Binnen,50.0,Niet brandend,Beton,Droog,Daglicht,Droog,Jan Tooropstraat,amsterdam,POINT (117539.29329999909 486987.0148999989),POINT (4.83715962159661 52.3694843515796),4.83715962159661,52.3694843515796
4116,20230040102,2023,Uitsluitend materiele schade,2,personenauto,e-bike,Kop/staart,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Admiraal De Ruijterweg,amsterdam,POINT (119004.19099999964 487553.3147),POINT (4.858607528068328 52.374671801326116),4.858607528068328,52.374671801326116
4117,20230040700,2023,Uitsluitend materiele schade,2,bromfiets,bromfiets,Flank,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Havenstraat,amsterdam,POINT (118779.58469999954 484743.34490000084),POINT (4.855611986189837 52.349403081652866),4.855611986189837,52.349403081652866
4354,20220210367,2022,Letsel,2,bestelauto,fiets,Flank,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Unknown,Droog,Daglicht,Droog,Overschiestraat,amsterdam,POINT (117679.84059999883 484184.0843000002),POINT (4.839534204788391 52.344303262193556),4.839534204788391,52.344303262193556
4355,20220210372,2022,Letsel,2,fiets,personenauto,Flank,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Nat,Daglicht,Regen,Van Baerlestraat,amsterdam,POINT (120505.20740000159 485328.21400000155),POINT (4.880877312586393 52.35477051846081),4.880877312586393,52.35477051846081
4447,20220211257,2022,Uitsluitend materiele schade,2,personenauto,e-bike,Flank,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,Dollardpad,amsterdam,POINT (124614.04050000012 490184.5223999992),POINT (4.940747250630038 52.39865838013339),4.940747250630038,52.39865838013339
4540,20220210664,2022,Uitsluitend materiele schade,2,personenauto,fiets,Onbekend,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Schemer,Droog,Amsteldijk,amsterdam,POINT (122142.39719999954 485457.1449000016),POINT (4.904895142482459 52.356029612268806),4.904895142482459,52.356029612268806
4602,20220210750,2022,Uitsluitend materiele schade,2,motor,fiets,Flank,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Beethovenstraat,amsterdam,POINT (120239.80700000003 484063.875),POINT (4.877112417423186 52.34339077776129),4.877112417423186,52.34339077776129
4630,20220212176,2022,Uitsluitend materiele schade,2,personenauto,fiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Nat,Daglicht,Regen,De Clercqstraat,amsterdam,POINT (119525.63980000094 487029.2404999994),POINT (4.866319987455948 52.36999574510904),4.866319987455948,52.36999574510904
