,accident_id,accident_year,outcome,num_parties,party1_type,party2_type,accident_nature,road_situation,built_up_area,speed_limit_kmh,street_lighting,road_surface,road_condition,light_condition,weather_condition,street_name,municipality,shape,geometry,longitude,latitude
253870,20230020582,2023,Uitsluitend materiele schade,2,fiets,fiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Brandend,ZOAB,Nat,Duisternis,Droog,Marnixstraat,amsterdam,POINT (120171.96799999848 487260.68200000003),POINT (4.8757859383135225 52.37211714292982),4.8757859383135225,52.37211714292982
253900,20230024652,2023,Letsel,1,fiets,unknown,Eenzijdig,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Burg Van Tienhovengracht,amsterdam,POINT (117132.00310000032 487824.1864),POINT (4.831085221469557 52.376980260606075),4.831085221469557,52.376980260606075
253944,20230078028,2023,Letsel,2,fiets,trein/tram,Flank,Rechte weg,Binnen,50.0,Niet brandend,Klinkers,Nat,Daglicht,Regen,Insulindeweg,amsterdam,POINT (124219.31300000101 485997.93499999866),POINT (4.93533127953042 52.36101017124875),4.93533127953042,52.36101017124875
253983,20230022951,2023,Uitsluitend materiele schade,3,personenauto,fiets,Onbekend,"Kruispunt, 4 takken",Binnen,50.0,Brandend,Overig asfalt,Nat,Duisternis,Droog,Reyer Anslostraat,amsterdam,POINT (119087 485794),POINT (4.860011454210355 52.3588657978755),4.860011454210355,52.3588657978755
254061,20230078138,2023,Letsel,2,bromfiets,personenauto,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Dijkmanshuizenstraat,amsterdam,POINT (125550.81949999928 489878.3894999996),POINT (4.954537702963636 52.395958142021136),4.954537702963636,52.395958142021136
254069,20230020818,2023,Uitsluitend materiele schade,1,bromfiets,unknown,Flank,"Kruispunt, 3 takken",Binnen,50.0,Unknown,Overig asfalt,Droog,Daglicht,Droog,Houtmankade,amsterdam,POINT (120580.68950000033 488793.40680000186),POINT (4.881630408223018 52.38591791934252),4.881630408223018,52.38591791934252
254123,20230103026,2023,Uitsluitend materiele schade,2,fiets,personenauto,Flank,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Jan Evertsenstraat,amsterdam,POINT (119023.51399999857 487191.35500000045),POINT (4.858930019222236 52.37142004486753),4.858930019222236,52.37142004486753
254185,20230087631,2023,Uitsluitend materiele schade,2,bromfiets,fiets,Frontaal,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Nat,Daglicht,Regen,Koninginneweg,amsterdam,POINT (119623.45199999958 485393.7879999988),POINT (4.867928197955793 52.35530378390853),4.867928197955793,52.35530378390853
254210,20230087678,2023,Letsel,2,bestelauto,fiets,Frontaal,Rotonde,Buiten,60.0,Niet aanwezig,Beton,Nat,Daglicht,Mist,Gooilandseweg,amsterdam,POINT (134248.40399999917 478181.2157000005),POINT (5.083041292892759 52.291227443736126),5.083041292892759,52.291227443736126
254281,20230097732,2023,Uitsluitend materiele schade,2,bestelauto,e-bike,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Prins Hendrikkade,amsterdam,POINT (122404.34200000018 487265.3465999998),POINT (4.908564759670134 52.37229610864568),4.908564759670134,52.37229610864568
254316,20230097824,2023,Uitsluitend materiele schade,2,snorfiets,motor,Kop/staart,Rechte weg,Binnen,Unknown,Niet aanwezig,Klinkers,Unknown,Daglicht,Droog,Het Laagt,amsterdam,POINT (124465.54300000146 489897.4450000003),POINT (4.938591571980507 52.39607008844127),4.938591571980507,52.39607008844127
254455,20210088981,2021,Letsel,2,personenauto,bromfiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Beton,Nat,Daglicht,Regen,Kalkmarkt,amsterdam,POINT (122322.87700000033 487333.69000000134),POINT (4.907361911058038 52.372905490245785),4.907361911058038,52.372905490245785
254469,20210075196,2021,Letsel,2,bus,bromfiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Brandend,Overig asfalt,Droog,Duisternis,Droog,Lodewijk van Deysselstr,amsterdam,POINT (116343.72459999844 487842.0549999997),POINT (4.819507261176482 52.377085916058356),4.819507261176482,52.377085916058356
254475,20210083076,2021,Uitsluitend materiele schade,2,fiets,bestelauto,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,ZOAB,Nat,Daglicht,Droog,Wibautstraat,amsterdam,POINT (122541.01099999994 485490.41800000146),POINT (4.910742896172171 52.35635234335688),4.910742896172171,52.35635234335688
254478,20210089615,2021,Uitsluitend materiele schade,2,personenauto,bromfiets,Flank,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,Van der Hoopstraat,amsterdam,POINT (119793.75899999961 488588.0789999999),POINT (4.870093412182449 52.38402268155433),4.870093412182449,52.38402268155433
254479,20210077486,2021,Uitsluitend materiele schade,3,fiets,fiets,Onbekend,Bocht,Binnen,50.0,Unknown,Overig asfalt,Nat,Duisternis,Unknown,Weteringschans,amsterdam,POINT (120791.8440000005 486125.0089999996),POINT (4.885003475602133 52.361949481826684),4.885003475602133,52.361949481826684
254504,20210088652,2021,Letsel,1,snorfiets,unknown,Eenzijdig,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Jan van Galenstraat,amsterdam,POINT (118380.98999999836 487355.1070000008),POINT (4.8494778298211445 52.37284925412981),4.8494778298211445,52.37284925412981
254537,20210078274,2021,Uitsluitend materiele schade,2,personenauto,bromfiets,Kop/staart,Rechte weg,Binnen,50.0,Niet brandend,ZOAB,Droog,Daglicht,Droog,Jan Pieter Heijestraat,amsterdam,POINT (119284.86400000006 486421.98000000045),POINT (4.862849232287272 52.364522527286574),4.862849232287272,52.364522527286574
254570,20210086196,2021,Letsel,3,motor,fiets,Flank,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Marnixstraat,amsterdam,POINT (120404.14699999988 487963.02899999917),POINT (4.87912284564305 52.37844400173631),4.87912284564305,52.37844400173631
254577,20210084845,2021,Uitsluitend materiele schade,2,personenauto,e-bike,Flank,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Nat,Daglicht,Droog,Kinkerstraat,amsterdam,POINT (119328.95199999958 486470.4470000006),POINT (4.863491346588333 52.36496097839189),4.863491346588333,52.36496097839189
254642,20210008583,2021,Uitsluitend materiele schade,2,bromfiets,personenauto,Onbekend,Unknown,Unknown,30.0,Unknown,Unknown,Unknown,Duisternis,Unknown,Swammerdamstraat,amsterdam,POINT (122352.01199999824 485594.7010000013),POINT (4.90795857550385 52.35727837118036),4.90795857550385,52.35727837118036
254856,20210016713,2021,Letsel,1,bromfiets,unknown,Eenzijdig,Rechte weg,Binnen,50.0,Brandend,Overig asfalt,Nat,Duisternis,Regen,Oostelijke Handelskade,amsterdam,POINT (124326.18600000069 487454.3779999986),POINT (4.93676729323489 52.37410570667194),4.93676729323489,52.37410570667194
254868,20210033826,2021,Uitsluitend materiele schade,2,personenauto,fiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Azaleastraat,amsterdam,POINT (122806.8136 489893.9294000007),POINT (4.914222600329417 52.395943693602455),4.914222600329417,52.395943693602455
254917,20210011585,2021,Letsel,1,bromfiets,unknown,Eenzijdig,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Piet Heinkade,amsterdam,POINT (123007.36300000176 487766.6229999997),POINT (4.917371604479668 52.376836698636424),4.917371604479668,52.376836698636424
255062,20210073096,2021,Uitsluitend materiele schade,2,bromfiets,unknown,Onbekend,Unknown,Unknown,50.0,Unknown,Unknown,Unknown,Duisternis,Unknown,Beethovenstraat,amsterdam,POINT (120221.20199999958 484344.2120000012),POINT (4.876810440731425 52.345909080048585),4.876810440731425,52.345909080048585
255092,20210034682,2021,Uitsluitend materiele schade,2,snorfiets,fiets,Onbekend,Rechte weg,Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Surinameplein,amsterdam,POINT (118458.54899999872 485791.9820000008),POINT (4.850786572465506 52.35880621807055),4.850786572465506,52.35880621807055
255100,20210041606,2021,Uitsluitend materiele schade,2,personenauto,fiets,Flank,Rotonde,Binnen,50.0,Niet brandend,Overig asfalt,Nat,Daglicht,Droog,Jan Evertsenstraat,amsterdam,POINT (117533.18679999933 487010.3770000003),POINT (4.837067358417429 52.369693895606474),4.837067358417429,52.369693895606474
255139,20210060247,2021,Uitsluitend materiele schade,2,fiets,personenauto,Flank,Rechte weg,Binnen,30.0,Brandend,Klinkers,Droog,Duisternis,Droog,Oude Turfmarkt,amsterdam,POINT (121350.91299999878 486839.70600000024),POINT (4.89313919972556 52.3684072127759),4.89313919972556,52.3684072127759
255166,20210044783,2021,Uitsluitend materiele schade,2,personenauto,fiets,Flank,"Kruispunt, 4 takken",Binnen,30.0,Brandend,Overig asfalt,Droog,Duisternis,Droog,Javastraat,amsterdam,POINT (123892.3440000005 486255.19299999997),POINT (4.930507590715959 52.36330382094795),4.930507590715959,52.36330382094795
255188,20210037331,2021,Uitsluitend materiele schade,2,bromfiets,voetganger,Voetganger,Rechte weg,Binnen,30.0,Niet brandend,Overig asfalt,Nat,Daglicht,Unknown,De Clercqstraat,amsterdam,POINT (119490.26799999923 487032.8830000013),POINT (4.865800244889092 52.370026195220596),4.865800244889092,52.370026195220596
255259,20210042376,2021,Letsel,3,fiets,fiets,Kop/staart,Rechte weg,Binnen,30.0,Niet brandend,ZOAB,Droog,Duisternis,Droog,Zuiderzeeweg,amsterdam,POINT (125116.98600000143 486464.82499999925),POINT (4.94846761944537 52.36525584682647),4.94846761944537,52.36525584682647
255376,20210057565,2021,Letsel,2,personenauto,fiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Brandend,ZOAB,Droog,Duisternis,Droog,Linnaeusstraat,amsterdam,POINT (123539 485898),POINT (4.925353664102062 52.36007348031172),4.925353664102062,52.36007348031172
