,Unnamed: 0,accident_id,accident_year,outcome,num_parties,party1_type,party2_type,accident_nature,road_situation,built_up_area,speed_limit_kmh,street_lighting,road_surface,road_condition,light_condition,weather_condition,street_name,municipality,shape,geometry,longitude,latitude,cluster,future_hotspot_spatial,outcome_encoded,future_hotspot_pred
3397,212936,20220211975,2022,Uitsluitend materiele schade,2,bromfiets,personenauto,Frontaal,Rechte weg,Binnen,50.0,Brandend,Overig asfalt,Nat,Duisternis,Mist,Willemsparkweg,amsterdam,POINT (120203.34499999881 485641.37000000104),POINT (4.876414242792789 52.35756591118482),4.876414242792789,52.35756591118482,1,1,2,1
3398,213476,20230111954,2023,Letsel,2,bromfiets,personenauto,Flank,"Kruispunt, 4 takken",Binnen,30.0,Brandend,Beton,Droog,Schemer,Droog,Slatuinenweg,amsterdam,POINT (119321 487114.9770000018),POINT (4.863306198563006 52.37075302448818),4.863306198563006,52.37075302448818,1,1,1,1
3399,213491,20230111468,2023,Uitsluitend materiele schade,2,bestelauto,fiets,Flank,Rechte weg,Binnen,30.0,Niet brandend,Overig asfalt,Nat,Daglicht,Regen,Aletta Jacobslaan,amsterdam,POINT (117048.02899999917 484479.43200000003),POINT (4.83022953824643 52.34691436310695),4.83022953824643,52.34691436310695,1,1,2,1
3400,213519,20230067105,2023,Uitsluitend materiele schade,2,personenauto,bromfiets,Kop/staart,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Nat,Daglicht,Regen,FIETSPAD,amsterdam,POINT (123204.91230000183 486231.8220000006),POINT (4.920417818433222 52.363054417840004),4.920417818433222,52.36305441784,1,1,2,1
3401,213547,20230066994,2023,Uitsluitend materiele schade,2,personenauto,fiets,Flank,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Admiraal De Ruijterweg,amsterdam,POINT (118479.37339999899 488469.8376000002),POINT (4.850801305682657 52.38287414980765),4.850801305682657,52.38287414980765,1,1,2,1
3402,213732,20230023385,2023,Uitsluitend materiele schade,2,personenauto,e-bike,Flank,Rotonde,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Burgerweeshuispad,amsterdam,POINT (118642.72670000046 483822.4721999988),POINT (4.853702933958892 52.34111788861203),4.853702933958892,52.34111788861203,1,1,2,1
3403,213745,20230077167,2023,Uitsluitend materiele schade,2,bestelauto,fiets,Onbekend,Rechte weg,Binnen,50.0,Niet brandend,ZOAB,Droog,Daglicht,Droog,Reinier Claeszenstraat,amsterdam,POINT (119221.82699999958 487547.93499999866),POINT (4.861803946230689 52.37463767644288),4.861803946230689,52.37463767644288,1,1,2,1
3404,213790,20230020661,2023,Uitsluitend materiele schade,2,bromfiets,personenauto,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Fridtjof Nansenhof,amsterdam,POINT (118190.69150000066 487321.98600000143),POINT (4.846687165677799 52.372538864599825),4.846687165677799,52.37253886459983,1,1,2,1
3405,213817,20230022925,2023,Uitsluitend materiele schade,2,personenauto,bromfiets,Geparkeerd voertuig,Rechte weg,Binnen,50.0,Brandend,Overig asfalt,Droog,Duisternis,Droog,Amsteldijk,amsterdam,POINT (122103.35599999875 485634.4070000015),POINT (4.904304750009503 52.35762038936029),4.904304750009503,52.35762038936029,1,1,2,1
3406,213820,20230024704,2023,Letsel,1,fiets,unknown,Eenzijdig,Rechte weg,Binnen,30.0,Brandend,Klinkers,Droog,Duisternis,Droog,Keizersgracht,amsterdam,POINT (120764.20499999821 487172.8229999989),POINT (4.884491032153418 52.37136477078345),4.884491032153418,52.37136477078345,1,1,1,1
3407,213826,20230077871,2023,Letsel,1,bromfiets,unknown,Eenzijdig,Rechte weg,Binnen,50.0,Niet brandend,Unknown,Droog,Daglicht,Droog,Amsteldijk,amsterdam,POINT (121580.74100000039 482397.7650000006),POINT (4.896954724703837 52.328500017571194),4.896954724703837,52.3285000175712,1,1,1,1
3408,213837,20230078938,2023,Letsel,2,personenauto,fiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Van Nijenrodeweg,amsterdam,POINT (119677.99170000106 482322.34160000086),POINT (4.869050997028369 52.327703221584756),4.869050997028369,52.32770322158476,1,1,1,1
3409,213849,20230024136,2023,Letsel,2,personenauto,fiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet aanwezig,Overig asfalt,Droog,Daglicht,Droog,Scheldestraat,amsterdam,POINT (121190.4386 484387.5846000016),POINT (4.891029528126299 52.346359366704334),4.891029528126299,52.346359366704334,1,1,1,1
3410,213990,20230087580,2023,Letsel,2,bromfiets,personenauto,Geparkeerd voertuig,Rechte weg,Binnen,30.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,Boomklokstraat,amsterdam,POINT (121384.5850000009 488190.31599999964),POINT (4.893498490833683 52.38054759607952),4.893498490833683,52.38054759607952,1,1,1,1
3411,213991,20230088182,2023,Uitsluitend materiele schade,2,personenauto,fiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Brandend,Overig asfalt,Nat,Duisternis,Droog,Weesperstraat,amsterdam,POINT (122347.84200000018 486032.68400000036),POINT (4.9078548461124445 52.36121442172519),4.9078548461124445,52.36121442172519,1,1,2,1
3412,214161,20230086652,2023,Uitsluitend materiele schade,3,bromfiets,fiets,Frontaal,Rechte weg,Binnen,Unknown,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Stationsplein,amsterdam,POINT (122015.62999999896 487818.34899999946),POINT (4.902802773048826 52.37724289584683),4.902802773048826,52.37724289584683,1,1,2,1
3413,214223,20230097880,2023,Uitsluitend materiele schade,2,fiets,personenauto,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Nat,Daglicht,Droog,President Allendelaan,amsterdam,POINT (116188.4990000017 487087.39400000125),POINT (4.8173149139057365 52.37029267647652),4.8173149139057365,52.37029267647652,1,1,2,1
3414,214225,20230097881,2023,Uitsluitend materiele schade,2,motor,bromfiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,0079 BRUG,amsterdam,POINT (120917.89609999955 485640.08850000054),POINT (4.886903084649638 52.35759918754495),4.886903084649638,52.35759918754495,1,1,2,1
3415,214243,20230102957,2023,Uitsluitend materiele schade,3,personenauto,fiets,Onbekend,Rotonde,Binnen,50.0,Brandend,Klinkers,Nat,Duisternis,Regen,Meeuwenlaan,amsterdam,POINT (123499.73119999841 488932.9732000008),POINT (4.924492761966159 52.38734751336917),4.924492761966159,52.38734751336917,1,1,2,1
3416,214308,20210087319,2021,Letsel,1,fiets,unknown,Eenzijdig,"Kruispunt, 4 takken",Binnen,Unknown,Unknown,Unknown,Droog,Duisternis,Unknown,Nassaukade,amsterdam,POINT (120347.57840000093 486539.8332000002),POINT (4.878438826936818 52.36564978137321),4.878438826936818,52.36564978137321,1,1,1,1
3417,214339,20210080847,2021,Letsel,2,fiets,unknown,Eenzijdig,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Nat,Daglicht,Regen,Nieuwezijds Voorburgwal,amsterdam,POINT (121177.67599999905 487398.09800000116),POINT (4.890539489241074 52.37341500318253),4.890539489241074,52.37341500318253,1,1,1,1
3418,214454,20210087208,2021,Uitsluitend materiele schade,3,personenauto,fiets,Onbekend,"Kruispunt, 4 takken",Binnen,30.0,Brandend,Overig asfalt,Droog,Duisternis,Droog,Singel,amsterdam,POINT (121312 486694),POINT (4.892582466097354 52.36709532382749),4.892582466097354,52.36709532382749,1,1,2,1
3419,214528,20210009887,2021,Letsel,2,personenauto,fiets,Flank,Rechte weg,Binnen,30.0,Niet brandend,Klinkers,Nat,Daglicht,Unknown,Arent Janszoon Ernststr,amsterdam,POINT (120321.30000000075 482792.44000000134),POINT (4.878439196286358 52.331969110214914),4.878439196286358,52.331969110214914,1,1,1,1
3420,214566,20210015136,2021,Uitsluitend materiele schade,2,bestelauto,bromfiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,Singel,amsterdam,POINT (120990.21730000153 487042.9807999991),POINT (4.887822778817154 52.370211885015216),4.887822778817154,52.370211885015216,1,1,2,1
3421,214855,20210003038,2021,Uitsluitend materiele schade,2,personenauto,fiets,Onbekend,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Klinkers,Nat,Daglicht,Regen,Rustenburgerstraat,amsterdam,POINT (121461.59380000085 485007.6294),POINT (4.894946949033256 52.35194853219995),4.894946949033256,52.35194853219995,1,1,2,1
3422,214865,20210014283,2021,Letsel,2,fiets,bromfiets,Kop/staart,Rechte weg,Binnen,50.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,Rokin,amsterdam,POINT (121338.5 487089.5),POINT (4.892931934656741 52.37065142487109),4.892931934656741,52.37065142487109,1,1,1,1
3423,214873,20210028960,2021,Uitsluitend materiele schade,2,bromfiets,personenauto,Onbekend,Unknown,Unknown,30.0,Unknown,Unknown,Unknown,Duisternis,Unknown,Baweanstraat,amsterdam,POINT (124953.48299999908 486311.6169999987),POINT (4.946080857692683 52.363869991739406),4.946080857692683,52.363869991739406,1,1,2,1
3424,214876,20210033622,2021,Letsel,2,bromfiets,overig wegmeubilair,Vast voorwerp,Rechte weg,Binnen,50.0,Brandend,Overig asfalt,Droog,Duisternis,Droog,Frederiksplein,amsterdam,POINT (121812.52199999988 485858.76099999994),POINT (4.900013522772368 52.35961923968234),4.900013522772368,52.35961923968234,1,1,1,1
3425,214897,20210026499,2021,Uitsluitend materiele schade,2,personenauto,fiets,Flank,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,ZOAB,Nat,Daglicht,Regen,Theophile de Bockstraat,amsterdam,POINT (118249.41770000011 485352.31430000067),POINT (4.847764752879034 52.35484085607574),4.847764752879034,52.35484085607574,1,1,2,1
3426,214937,20210018854,2021,Uitsluitend materiele schade,2,bestelauto,snorfiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Socratesstraat,amsterdam,POINT (116250.48680000007 487506.4408),POINT (4.818176757402154 52.374063112716485),4.818176757402154,52.374063112716485,1,1,2,1
3427,215083,20210047201,2021,Uitsluitend materiele schade,2,bestelauto,bromfiets,Flank,Rechte weg,Binnen,50.0,Unknown,Overig asfalt,Droog,Daglicht,Droog,Parnassusweg,amsterdam,POINT (119582.43400000036 484295.5879999995),POINT (4.86744172941911 52.34543128577967),4.86744172941911,52.34543128577967,1,1,2,1
3428,215113,20210053850,2021,Uitsluitend materiele schade,3,fiets,personenauto,Onbekend,Rechte weg,Binnen,50.0,Brandend,Overig asfalt,Droog,Duisternis,Droog,Stadhouderskade,amsterdam,POINT (120556.88199999928 486111.79399999976),POINT (4.881555543033918 52.361816032247795),4.881555543033918,52.3618160322478,1,1,2,1
3429,215115,20210055023,2021,Uitsluitend materiele schade,2,bromfiets,personenauto,Kop/staart,Rechte weg,Binnen,30.0,Brandend,Klinkers,Droog,Duisternis,Droog,Jodenbreestraat,amsterdam,POINT (121934.8350000009 486943.24500000104),POINT (4.901702367901421 52.369373214864645),4.901702367901421,52.369373214864645,1,1,2,1
3430,215123,20210062862,2021,Uitsluitend materiele schade,1,snorfiets,unknown,Voetganger,Rechte weg,Binnen,50.0,Niet brandend,Beton,Droog,Daglicht,Droog,Burg De Vlugtlaan,amsterdam,POINT (116757.67399999872 488242.41000000015),POINT (4.8255405752711455 52.38071297497501),4.8255405752711455,52.38071297497501,1,1,2,1
3431,215149,20210070106,2021,Uitsluitend materiele schade,2,bromfiets,fiets,Flank,"Kruispunt, 4 takken",Binnen,15.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Molukkenstraat,amsterdam,POINT (124599.69370000064 485687.5276999995),POINT (4.9409433153359785 52.35824160921826),4.9409433153359785,52.35824160921826,1,1,2,1
3432,215156,20210039880,2021,Uitsluitend materiele schade,2,bestelauto,fiets,Frontaal,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Mercatorplein,amsterdam,POINT (118497.86100000143 487052.8830000013),POINT (4.851226754032187 52.37014087418786),4.851226754032187,52.37014087418786,1,1,2,1
3433,215186,20210035494,2021,Uitsluitend materiele schade,2,snorfiets,personenauto,Kop/staart,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Osdorpplein,amsterdam,POINT (115305.54899999872 485951.61300000176),POINT (4.804484827819033 52.36002207511647),4.804484827819033,52.36002207511647,1,1,2,1
3434,215235,20210057944,2021,Uitsluitend materiele schade,2,bromfiets,overig wegmeubilair,Vast voorwerp,"Kruispunt, 4 takken",Binnen,50.0,Brandend,Overig asfalt,Droog,Duisternis,Droog,Spuistraat,amsterdam,POINT (121119.07019999996 487385.3942999989),POINT (4.889680202496798 52.37329721858644),4.889680202496798,52.37329721858644,1,1,2,1
3435,215256,20210040611,2021,Uitsluitend materiele schade,3,bestelauto,fiets,Onbekend,Bocht,Binnen,30.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,Herengracht,amsterdam,POINT (120960.6649999991 487328.7030000016),POINT (4.887359929414551 52.37277792145656),4.887359929414551,52.37277792145656,1,1,2,1
3436,215332,20210059150,2021,Letsel,2,personenauto,bromfiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,IJburglaan,amsterdam,POINT (126643.16420000046 486807.32090000063),POINT (4.970845206843833 52.36841489645651),4.970845206843833,52.36841489645651,1,1,1,1
3437,215472,20210050059,2021,Uitsluitend materiele schade,2,personenauto,snorfiets,Flank,Rotonde,Binnen,50.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,Surinameplein,amsterdam,POINT (118644 485719),POINT (4.853516713518186 52.35816261346271),4.853516713518186,52.35816261346271,1,1,2,1
3438,215491,20210069655,2021,Uitsluitend materiele schade,2,fiets,personenauto,Flank,Rotonde,Binnen,50.0,Niet brandend,ZOAB,Droog,Daglicht,Droog,Johan van Hasseltweg,amsterdam,POINT (123471.690200001 488950.8929999992),POINT (4.924079194696744 52.38750695405781),4.924079194696744,52.38750695405781,1,1,2,1
3439,215685,20210076292,2021,Uitsluitend materiele schade,2,personenauto,e-bike,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Hoofdweg,amsterdam,POINT (118303.32559999824 487482.58370000124),POINT (4.848323507582492 52.37398973296832),4.848323507582492,52.37398973296832,1,1,2,1
3440,215937,20210077159,2021,Uitsluitend materiele schade,2,personenauto,fiets,Flank,Rotonde,Binnen,50.0,Brandend,Overig asfalt,Nat,Duisternis,Regen,Burgemeester Röellstraat,amsterdam,POINT (116350 487669),POINT (4.819619320655471 52.375531078382004),4.819619320655471,52.375531078382,1,1,2,1
3441,216086,20220080670,2022,Letsel,2,personenauto,fiets,Flank,"Kruispunt, 3 takken",Binnen,50.0,Brandend,Overig asfalt,Nat,Duisternis,Regen,Overtoom,amsterdam,POINT (120368.99819999933 486313.9556000009),POINT (4.878776563710008 52.36362110492843),4.878776563710008,52.36362110492843,1,1,1,1
3442,216102,20220016503,2022,Uitsluitend materiele schade,2,personenauto,bromfiets,Geparkeerd voertuig,Rechte weg,Binnen,30.0,Niet brandend,ZOAB,Nat,Daglicht,Droog,Bos en Lommerweg,amsterdam,POINT (118803.50600000098 488399.76300000027),POINT (4.855569412846473 52.38226584087616),4.855569412846473,52.38226584087616,1,1,2,1
3443,216127,20220080718,2022,Uitsluitend materiele schade,2,fiets,fiets,Flank,Rechte weg,Binnen,30.0,Niet brandend,Overig asfalt,Nat,Daglicht,Droog,Rozengracht,amsterdam,POINT (120230.15500000119 487290.6160000004),POINT (4.876637233009597 52.37238985523643),4.876637233009597,52.37238985523643,1,1,2,1
3444,216128,20220081467,2022,Letsel,2,fiets,personenauto,Kop/staart,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Stadionweg,amsterdam,POINT (119292.58579999954 484350.3046000004),POINT (4.863182492483093 52.345904284587874),4.863182492483093,52.345904284587874,1,1,1,1
3445,216175,20220016827,2022,Uitsluitend materiele schade,2,bestelauto,e-bike,Frontaal,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Hamerstraat,amsterdam,POINT (123315.22069999948 488792.75759999827),POINT (4.921795775835873 52.38607673496304),4.921795775835873,52.38607673496304,1,1,2,1
